Language_Name,Lexeme,Meaning,Cognate_Set,Latitude,Longitude,Subfamily
Tundra Nenets,ŋercy°,drink,c,66.1775,71.0234,Samoyed
Selkup,ütə-,drink,d,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],navel,?,NA,NA,(reconstr.)
South Saami,naepie,navel,g,62.8801,13.7006,Saami
Ume Saami,naahpee,navel,g,64.6383,18.646,Saami
Pite Saami,náhpe,navel,g,66.4011,17.4261,Saami
North Saami,náhpi,navel,g,68.725,22.1113,Saami
Inari Saami,nääpi,navel,g,69.4229,27.8658,Saami
Skolt Saami,nääʹpp,navel,g,68.8326,29.7204,Saami
Kildin Saami,nābp’,navel,g,68.2158,35.8348,Saami
Standard Finnish,napa,navel,a,64.7628,25.5577,Finnic
Karelian Proper,napa,navel,a,65.1691,30.8655,Finnic
Veps,naba,navel,a,60.3353,34.7865,Finnic
Ingrian,naʙa,navel,a,59.47403,29.71145,Finnic
Western Votic,napa,navel,a,NA,NA,Finnic
Standard Estonian,naba,navel,a,58.55,25.82,Finnic
Võro South Estonian,naba,navel,a,57.85,27,Finnic
Courland Livonian,nabà,navel,a,NA,NA,Finnic
Erzya,počo,navel,b,52.8548,45.3901,Mordvin
Meadow Mari,kə̑lə̑mde,navel,c,55.8307,48.405,Mari
Komi-Zyrian,ge̮g,navel,d,64.0527,54.946,Permic
Komi-Permyak,ge̮g,navel,d,59.6602,54.7959,Permic
Udmurt,gogi̮,navel,d,56.12921,52.63548,Permic
Hungarian,köldök,navel,h,46.9068585714,19.6555271429,Ugric
Sosva Mansi,pukńi,navel,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,pö̆ɣḷəŋ,navel,f,60.10378,79.873651,Ugric
Nganasan,kīŋ,navel,e,73.1354,86.2106,Samoyed
Tundra Nenets,syúh,navel,e,66.1775,71.0234,Samoyed
Selkup,śȫń,navel,e,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],stand,?,NA,NA,(reconstr.)
South Saami,tjåadtjodh,stand,a,62.8801,13.7006,Saami
Ume Saami,tjuadˈtjoot,stand,a,64.6383,18.646,Saami
Pite Saami,tjuadtjut,stand,a,66.4011,17.4261,Saami
North Saami,čuožžut,stand,a,68.725,22.1113,Saami
Inari Saami,čuáž'žuđ,stand,a,69.4229,27.8658,Saami
Skolt Saami,čuẹǯ’ǯad,stand,a,68.8326,29.7204,Saami
Kildin Saami,čuennče,stand,a,68.2158,35.8348,Saami
Standard Finnish,seisoa ~ seistä,stand,a,64.7628,25.5577,Finnic
Karelian Proper,seisuo,stand,a,65.1691,30.8655,Finnic
Veps,seišta,stand,a,60.3353,34.7865,Finnic
Ingrian,seissä,stand,a,59.47403,29.71145,Finnic
Western Votic,seisoma,stand,a,NA,NA,Finnic
Standard Estonian,seista,stand,a,58.55,25.82,Finnic
Võro South Estonian,saisma,stand,a,57.85,27,Finnic
Courland Livonian,pīlə,stand,b,NA,NA,Finnic
Erzya,aštʹems śtʹado,stand,a,52.8548,45.3901,Mordvin
Meadow Mari,šoɣem,stand,c,55.8307,48.405,Mari
Komi-Zyrian,sulavni̮,stand,c,64.0527,54.946,Permic
Komi-Permyak,sulavni̮,stand,c,59.6602,54.7959,Permic
Udmurt,si̮li̮ni̮,stand,c,56.12921,52.63548,Permic
Hungarian,áll,stand,c,46.9068585714,19.6555271429,Ugric
Sosva Mansi,lʹūlʹi,stand,d,NA,NA,Ugric
Vakh-Vasyugan Khanty,lalʹ-,stand,d,60.10378,79.873651,Ugric
Nganasan,nənsi̮dʹi,stand,e,73.1354,86.2106,Samoyed
Tundra Nenets,núsy°,stand,e,66.1775,71.0234,Samoyed
Selkup,ni̮ŋki-,stand,e,65.7035,82.4441,Samoyed
Proto-Uralic*,*muka,back,h,NA,NA,(reconstr.)
South Saami,rudtje,back,j,62.8801,13.7006,Saami
Ume Saami,tjyvvèlka,back,b,64.6383,18.646,Saami
Pite Saami,ruptujt,back,j,66.4011,17.4261,Saami
North Saami,čielgi,back,a,68.725,22.1113,Saami
North Saami,sealgi,back,k,68.725,22.1113,Saami
Inari Saami,selgi,back,k,69.4229,27.8658,Saami
Skolt Saami,čiõʹlj,back,a,68.8326,29.7204,Saami
Skolt Saami,seäʹlǧǧ,back,k,68.8326,29.7204,Saami
Kildin Saami,siell’k,back,k,68.2158,35.8348,Saami
Standard Finnish,selkä,back,a,64.7628,25.5577,Finnic
Karelian Proper,selkä,back,a,65.1691,30.8655,Finnic
Veps,śelʹg,back,a,60.3353,34.7865,Finnic
Ingrian,selɢä,back,a,59.47403,29.71145,Finnic
Western Votic,seltš,back,a,NA,NA,Finnic
Standard Estonian,selg,back,a,58.55,25.82,Finnic
Võro South Estonian,sälg,back,a,57.85,27,Finnic
Courland Livonian,sǟlga,back,a,NA,NA,Finnic
Erzya,kopoŕ,back,c,52.8548,45.3901,Mordvin
Erzya,kutʹmeŕe,back,i,52.8548,45.3901,Mordvin
Meadow Mari,tup,back,d,55.8307,48.405,Mari
Komi-Zyrian,mi̮š,back,e,64.0527,54.946,Permic
Komi-Permyak,mi̮šk,back,e,59.6602,54.7959,Permic
Udmurt,ti̮bi̮r,back,l,56.12921,52.63548,Permic
Hungarian,hát,back,f,46.9068585714,19.6555271429,Ugric
Sosva Mansi,sis,back,g,NA,NA,Ugric
Vakh-Vasyugan Khanty,č̣ö̆ṇč̣,back,g,60.10378,79.873651,Ugric
Nganasan,məku,back,h,73.1354,86.2106,Samoyed
Tundra Nenets,məxa,back,h,66.1775,71.0234,Samoyed
Selkup,moqə,back,h,65.7035,82.4441,Samoyed
Proto-Uralic*,*puri̮-,bite,a,NA,NA,(reconstr.)
Proto-Uralic*,*soski̮-,bite,f,NA,NA,(reconstr.)
South Saami,gaetskedh,bite,c,62.8801,13.7006,Saami
Ume Saami,gaaskèstit,bite,c,64.6383,18.646,Saami
Ume Saami,stǜllat,bite,d,64.6383,18.646,Saami
Pite Saami,gassket,bite,c,66.4011,17.4261,Saami
North Saami,gáskit,bite,c,68.725,22.1113,Saami
Inari Saami,käskiđ,bite,c,69.4229,27.8658,Saami
Skolt Saami,käʹcǩǩed,bite,c,68.8326,29.7204,Saami
Kildin Saami,kācc’ke,bite,c,68.2158,35.8348,Saami
Standard Finnish,purra,bite,a,64.7628,25.5577,Finnic
Karelian Proper,purra,bite,a,65.1691,30.8655,Finnic
Veps,purda,bite,a,60.3353,34.7865,Finnic
Ingrian,purra,bite,a,59.47403,29.71145,Finnic
Western Votic,amme̮sse̮ma,bite,b,NA,NA,Finnic
Western Votic,pure̮ma,bite,a,NA,NA,Finnic
Standard Estonian,hammustada,bite,b,58.55,25.82,Finnic
Võro South Estonian,purõma,bite,a,57.85,27,Finnic
Courland Livonian,jammstə,bite,b,NA,NA,Finnic
Erzya,rumštams,bite,e,52.8548,45.3901,Mordvin
Erzya,suskoms,bite,f,52.8548,45.3901,Mordvin
Meadow Mari,puram,bite,a,55.8307,48.405,Mari
Komi-Zyrian,kurtʹći̮ni̮,bite,g,64.0527,54.946,Permic
Komi-Permyak,kurććavni̮,bite,g,59.6602,54.7959,Permic
Udmurt,kurtći̮ni̮,bite,g,56.12921,52.63548,Permic
Hungarian,harap,bite,g,46.9068585714,19.6555271429,Ugric
Sosva Mansi,puri,bite,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,pŏr-,bite,a,60.10378,79.873651,Ugric
Nganasan,sakələsa,bite,h,73.1354,86.2106,Samoyed
Tundra Nenets,syakəlcy°,bite,h,66.1775,71.0234,Samoyed
Selkup,sāčə-,bite,h,65.7035,82.4441,Samoyed
Proto-Uralic*,*tuwli̮,wind,a,NA,NA,(reconstr.)
South Saami,bïegke,wind,c,62.8801,13.7006,Saami
Ume Saami,beägˈga,wind,c,64.6383,18.646,Saami
Pite Saami,bägga,wind,c,66.4011,17.4261,Saami
North Saami,biegga,wind,c,68.725,22.1113,Saami
Inari Saami,pieg'ga,wind,c,69.4229,27.8658,Saami
Skolt Saami,piõgˈg,wind,c,68.8326,29.7204,Saami
Kildin Saami,pīŋŋk,wind,c,68.2158,35.8348,Saami
Standard Finnish,tuuli,wind,a,64.7628,25.5577,Finnic
Karelian Proper,tuuli,wind,a,65.1691,30.8655,Finnic
Veps,ahav,wind,b,60.3353,34.7865,Finnic
Ingrian,tūli,wind,a,59.47403,29.71145,Finnic
Western Votic,tūli,wind,a,NA,NA,Finnic
Standard Estonian,tuul,wind,a,58.55,25.82,Finnic
Võro South Estonian,tuul',wind,a,57.85,27,Finnic
Courland Livonian,tūlʹ,wind,a,NA,NA,Finnic
Erzya,varma,wind,d,52.8548,45.3901,Mordvin
Meadow Mari,marδež,wind,e,55.8307,48.405,Mari
Komi-Zyrian,te̮v,wind,a,64.0527,54.946,Permic
Komi-Permyak,te̮v,wind,a,59.6602,54.7959,Permic
Udmurt,te̮l,wind,a,56.12921,52.63548,Permic
Hungarian,szél,wind,f,46.9068585714,19.6555271429,Ugric
Sosva Mansi,wōt,wind,g,NA,NA,Ugric
Vakh-Vasyugan Khanty,wat,wind,g,60.10378,79.873651,Ugric
Nganasan,biə,wind,j,73.1354,86.2106,Samoyed
Tundra Nenets,myercya,wind,h,66.1775,71.0234,Samoyed
Selkup,merkə,wind,h,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],smoke,?,NA,NA,(reconstr.)
South Saami,soeve,smoke,a,62.8801,13.7006,Saami
Ume Saami,suavva,smoke,a,64.6383,18.646,Saami
Pite Saami,suovva,smoke,a,66.4011,17.4261,Saami
North Saami,suovva,smoke,a,68.725,22.1113,Saami
Inari Saami,suova,smoke,a,69.4229,27.8658,Saami
Skolt Saami,suõvv,smoke,a,68.8326,29.7204,Saami
Kildin Saami,sūvv,smoke,a,68.2158,35.8348,Saami
Standard Finnish,savu,smoke,a,64.7628,25.5577,Finnic
Karelian Proper,savu,smoke,a,65.1691,30.8655,Finnic
Veps,savu,smoke,a,60.3353,34.7865,Finnic
Ingrian,savvu,smoke,a,59.47403,29.71145,Finnic
Western Votic,savvu,smoke,a,NA,NA,Finnic
Standard Estonian,suits,smoke,b,58.55,25.82,Finnic
Võro South Estonian,"savv, sau",smoke,a,57.85,27,Finnic
Courland Livonian,soʾu,smoke,a,NA,NA,Finnic
Erzya,kačamo,smoke,c,52.8548,45.3901,Mordvin
Meadow Mari,šikš,smoke,d,55.8307,48.405,Mari
Komi-Zyrian,č̣i̮n,smoke,e,64.0527,54.946,Permic
Komi-Permyak,či̮n,smoke,e,59.6602,54.7959,Permic
Udmurt,tši̮n,smoke,e,56.12921,52.63548,Permic
Hungarian,füst,smoke,f,46.9068585714,19.6555271429,Ugric
Sosva Mansi,posim,smoke,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,pŏrki̮,smoke,g,60.10378,79.873651,Ugric
Nganasan,dʹakagə,smoke,h,73.1354,86.2106,Samoyed
Tundra Nenets,yake,smoke,h,66.1775,71.0234,Samoyed
Selkup,purqə,smoke,j,65.7035,82.4441,Samoyed
Proto-Uralic*,*mV,what,a,NA,NA,(reconstr.)
South Saami,"mij, maam",what,a,62.8801,13.7006,Saami
Ume Saami,mii,what,a,64.6383,18.646,Saami
Pite Saami,mij,what,a,66.4011,17.4261,Saami
North Saami,mii,what,a,68.725,22.1113,Saami
Inari Saami,mii,what,a,69.4229,27.8658,Saami
Skolt Saami,mii,what,a,68.8326,29.7204,Saami
Kildin Saami,megk,what,a,68.2158,35.8348,Saami
Kildin Saami,mī,what,a,68.2158,35.8348,Saami
Standard Finnish,"mi-, mikä",what,a,64.7628,25.5577,Finnic
Karelian Proper,mi ~ mikä,what,a,65.1691,30.8655,Finnic
Veps,mi,what,a,60.3353,34.7865,Finnic
Ingrian,miɢä ~ mi,what,a,59.47403,29.71145,Finnic
Western Votic,mikä,what,a,NA,NA,Finnic
Standard Estonian,mis,what,a,58.55,25.82,Finnic
Võro South Estonian,miä,what,a,57.85,27,Finnic
Courland Livonian,mis,what,a,NA,NA,Finnic
Erzya,meźe,what,a,52.8548,45.3901,Mordvin
Meadow Mari,mo,what,a,55.8307,48.405,Mari
Komi-Zyrian,mi̮j,what,a,64.0527,54.946,Permic
Komi-Permyak,mi̮j,what,a,59.6602,54.7959,Permic
Udmurt,"ma, mar",what,a,56.12921,52.63548,Permic
Hungarian,mi,what,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,"man, manər",what,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,"mö̆ɣi, mö̆ɣö̆lʹi",what,a,60.10378,79.873651,Ugric
Nganasan,mā,what,a,73.1354,86.2106,Samoyed
Tundra Nenets,ŋəmke,what,b,66.1775,71.0234,Samoyed
Selkup,qaji,what,c,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],child_kin,?,NA,NA,(reconstr.)
South Saami,maana,child_kin,b,62.8801,13.7006,Saami
Ume Saami,jugˈloo,child_kin,c,64.6383,18.646,Saami
Ume Saami,mànnaa,child_kin,b,64.6383,18.646,Saami
Pite Saami,jugglo,child_kin,c,66.4011,17.4261,Saami
Pite Saami,oŋŋga,child_kin,t,66.4011,17.4261,Saami
North Saami,mánná,child_kin,b,68.725,22.1113,Saami
Inari Saami,"páárnáž, pärni",child_kin,d,69.4229,27.8658,Saami
Skolt Saami,"päʹrnn, päärnaž",child_kin,d,68.8326,29.7204,Saami
Kildin Saami,pārrne,child_kin,d,68.2158,35.8348,Saami
Standard Finnish,lapsi,child_kin,a,64.7628,25.5577,Finnic
Karelian Proper,lapsi,child_kin,a,65.1691,30.8655,Finnic
Veps,lapś,child_kin,a,60.3353,34.7865,Finnic
Ingrian,laps,child_kin,a,59.47403,29.71145,Finnic
Western Votic,лahs,child_kin,a,NA,NA,Finnic
Standard Estonian,laps,child_kin,a,58.55,25.82,Finnic
Võro South Estonian,lats',child_kin,a,57.85,27,Finnic
Courland Livonian,läpš,child_kin,a,NA,NA,Finnic
Erzya,ejdʹe,child_kin,e,52.8548,45.3901,Mordvin
Erzya,ejkakš,child_kin,f,52.8548,45.3901,Mordvin
Erzya,pakša,child_kin,h,52.8548,45.3901,Mordvin
Meadow Mari,ikšə̑βə̑ ~ iɣešuβə̑,child_kin,g,55.8307,48.405,Mari
Meadow Mari,joča,child_kin,p,55.8307,48.405,Mari
Komi-Zyrian,ćelʹadʹ,child_kin,q,64.0527,54.946,Permic
Komi-Permyak,ćelʹadʹ,child_kin,q,59.6602,54.7959,Permic
Komi-Permyak,kaga,child_kin,s,59.6602,54.7959,Permic
Udmurt,ni̮lpi,child_kin,r,56.12921,52.63548,Permic
Udmurt,pinal,child_kin,i,56.12921,52.63548,Permic
Hungarian,gyerek ~ gyermek,child_kin,j,46.9068585714,19.6555271429,Ugric
Sosva Mansi,āɣi-piɣ,child_kin,l,NA,NA,Ugric
Sosva Mansi,ńāwram,child_kin,k,NA,NA,Ugric
Vakh-Vasyugan Khanty,ńəŋi-ki̮ji̮,child_kin,m,60.10378,79.873651,Ugric
Nganasan,ńū,child_kin,n,73.1354,86.2106,Samoyed
Tundra Nenets,nyú,child_kin,n,66.1775,71.0234,Samoyed
Selkup,īŋa,child_kin,o,65.7035,82.4441,Samoyed
Proto-Uralic*,*muna,egg,a,NA,NA,(reconstr.)
South Saami,munnie,egg,a,62.8801,13.7006,Saami
Ume Saami,münnee,egg,a,64.6383,18.646,Saami
Pite Saami,månne,egg,a,66.4011,17.4261,Saami
North Saami,manni ~ monni,egg,a,68.725,22.1113,Saami
Inari Saami,mane,egg,a,69.4229,27.8658,Saami
Skolt Saami,mââʹnn,egg,a,68.8326,29.7204,Saami
Kildin Saami,mann’,egg,a,68.2158,35.8348,Saami
Standard Finnish,muna,egg,a,64.7628,25.5577,Finnic
Karelian Proper,muna,egg,a,65.1691,30.8655,Finnic
Veps,muna,egg,a,60.3353,34.7865,Finnic
Ingrian,muna,egg,a,59.47403,29.71145,Finnic
Western Votic,muna,egg,a,NA,NA,Finnic
Standard Estonian,muna,egg,a,58.55,25.82,Finnic
Võro South Estonian,muna,egg,a,57.85,27,Finnic
Courland Livonian,munà,egg,a,NA,NA,Finnic
Erzya,al,egg,b,52.8548,45.3901,Mordvin
Meadow Mari,muno,egg,a,55.8307,48.405,Mari
Komi-Zyrian,kolʹk,egg,c,64.0527,54.946,Permic
Komi-Permyak,kolʹtʹ,egg,c,59.6602,54.7959,Permic
Udmurt,puz,egg,d,56.12921,52.63548,Permic
Hungarian,tojás,egg,e,46.9068585714,19.6555271429,Ugric
Sosva Mansi,mūŋi,egg,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,məɣ,egg,f,60.10378,79.873651,Ugric
Nganasan,mənu,egg,a,73.1354,86.2106,Samoyed
Tundra Nenets,sar°qnyu,egg,g,66.1775,71.0234,Samoyed
Selkup,eŋ,egg,h,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],burn,?,NA,NA,(reconstr.)
South Saami,bueledh,burn,a,62.8801,13.7006,Saami
Ume Saami,büelleet,burn,a,64.6383,18.646,Saami
Pite Saami,buälldet,burn,a,66.4011,17.4261,Saami
North Saami,buollit,burn,a,68.725,22.1113,Saami
Inari Saami,pyelliđ,burn,a,69.4229,27.8658,Saami
Skolt Saami,pueʹlled,burn,a,68.8326,29.7204,Saami
Kildin Saami,pūll’e,burn,a,68.2158,35.8348,Saami
Standard Finnish,palaa,burn,a,64.7628,25.5577,Finnic
Karelian Proper,paloa,burn,a,65.1691,30.8655,Finnic
Veps,palada,burn,a,60.3353,34.7865,Finnic
Ingrian,pal̆lā,burn,a,59.47403,29.71145,Finnic
Western Votic,pe̮лe̮ma,burn,a,NA,NA,Finnic
Standard Estonian,põleda,burn,a,58.55,25.82,Finnic
Võro South Estonian,palama,burn,a,57.85,27,Finnic
Courland Livonian,paʾllə,burn,a,NA,NA,Finnic
Erzya,paloms,burn,a,52.8548,45.3901,Mordvin
Meadow Mari,jülem,burn,b,55.8307,48.405,Mari
Komi-Zyrian,lomavni̮,burn,c,64.0527,54.946,Permic
Komi-Zyrian,sotʹći̮ni̮,burn,d,64.0527,54.946,Permic
Komi-Permyak,soćći̮ni̮,burn,d,59.6602,54.7959,Permic
Udmurt,ǯuani̮,burn,e,56.12921,52.63548,Permic
Hungarian,ég,burn,f,46.9068585714,19.6555271429,Ugric
Sosva Mansi,tēɣ,burn,g,NA,NA,Ugric
Vakh-Vasyugan Khanty,li-,burn,h,60.10378,79.873651,Ugric
Nganasan,[Form not found],burn,?,73.1354,86.2106,Samoyed
Tundra Nenets,pəra°,burn,i,66.1775,71.0234,Samoyed
Selkup,am-,burn,j,65.7035,82.4441,Samoyed
Proto-Uralic*,*miɣi-,give,e,NA,NA,(reconstr.)
South Saami,vedtedh,give,a,62.8801,13.7006,Saami
Ume Saami,vadˈdeet,give,a,64.6383,18.646,Saami
Pite Saami,vaddet,give,a,66.4011,17.4261,Saami
North Saami,addit,give,a,68.725,22.1113,Saami
Inari Saami,add(e)liđ,give,a,69.4229,27.8658,Saami
Skolt Saami,uʹvdded,give,a,68.8326,29.7204,Saami
Kildin Saami,ann’te,give,a,68.2158,35.8348,Saami
Standard Finnish,antaa,give,a,64.7628,25.5577,Finnic
Karelian Proper,antoa,give,a,65.1691,30.8655,Finnic
Veps,antta,give,a,60.3353,34.7865,Finnic
Ingrian,antā,give,a,59.47403,29.71145,Finnic
Western Votic,ante̮ma,give,a,NA,NA,Finnic
Standard Estonian,anda,give,a,58.55,25.82,Finnic
Võro South Estonian,andma,give,a,57.85,27,Finnic
Courland Livonian,anndə,give,a,NA,NA,Finnic
Erzya,maksoms,give,b,52.8548,45.3901,Mordvin
Meadow Mari,puem,give,c,55.8307,48.405,Mari
Komi-Zyrian,śetni̮,give,d,64.0527,54.946,Permic
Komi-Permyak,śetni̮,give,d,59.6602,54.7959,Permic
Udmurt,śoti̮ni̮,give,d,56.12921,52.63548,Permic
Hungarian,ad,give,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,miɣ,give,e,NA,NA,Ugric
Vakh-Vasyugan Khanty,mə-,give,e,60.10378,79.873651,Ugric
Nganasan,miśi,give,e,73.1354,86.2106,Samoyed
Tundra Nenets,myicy°,give,e,66.1775,71.0234,Samoyed
Selkup,mi-,give,e,65.7035,82.4441,Samoyed
Proto-Uralic*,*wuði̮,new,a,NA,NA,(reconstr.)
South Saami,orre,new,a,62.8801,13.7006,Saami
Ume Saami,uddas,new,a,64.6383,18.646,Saami
Pite Saami,årrå,new,a,66.4011,17.4261,Saami
North Saami,ođas,new,a,68.725,22.1113,Saami
Inari Saami,uuđas,new,a,69.4229,27.8658,Saami
Skolt Saami,oođâs,new,a,68.8326,29.7204,Saami
Kildin Saami,ōdt,new,a,68.2158,35.8348,Saami
Standard Finnish,uusi,new,a,64.7628,25.5577,Finnic
Karelian Proper,uusi,new,a,65.1691,30.8655,Finnic
Veps,uź,new,a,60.3353,34.7865,Finnic
Ingrian,ūz,new,a,59.47403,29.71145,Finnic
Western Votic,ūs(i),new,a,NA,NA,Finnic
Standard Estonian,uus,new,a,58.55,25.82,Finnic
Võro South Estonian,vahtsõnõ,new,e,57.85,27,Finnic
Courland Livonian,ūž,new,a,NA,NA,Finnic
Erzya,od,new,a,52.8548,45.3901,Mordvin
Meadow Mari,u,new,a,55.8307,48.405,Mari
Komi-Zyrian,vi̮lʹ,new,a,64.0527,54.946,Permic
Komi-Permyak,vilʹ,new,a,59.6602,54.7959,Permic
Udmurt,vi̮lʹ,new,a,56.12921,52.63548,Permic
Hungarian,új,new,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,lʹilʹpi ~ jilʹpi,new,b,NA,NA,Ugric
Vakh-Vasyugan Khanty,jələw,new,c,60.10378,79.873651,Ugric
Nganasan,meńdʹadʹe,new,f,73.1354,86.2106,Samoyed
Tundra Nenets,yedey°,new,d,66.1775,71.0234,Samoyed
Selkup,śentə,new,g,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],good,?,NA,NA,(reconstr.)
South Saami,buerie,good,b,62.8801,13.7006,Saami
Ume Saami,"büerree, buarahka",good,b,64.6383,18.646,Saami
Pite Saami,"buorak, buorre",good,b,66.4011,17.4261,Saami
North Saami,buorre,good,b,68.725,22.1113,Saami
Inari Saami,pyeri,good,b,69.4229,27.8658,Saami
Inari Saami,šieu,good,c,69.4229,27.8658,Saami
Skolt Saami,pueʹrr,good,b,68.8326,29.7204,Saami
Skolt Saami,šiõǥǥ,good,c,68.8326,29.7204,Saami
Kildin Saami,pūrr’,good,b,68.2158,35.8348,Saami
Kildin Saami,šig,good,c,68.2158,35.8348,Saami
Standard Finnish,hyvä,good,a,64.7628,25.5577,Finnic
Karelian Proper,hyvä,good,a,65.1691,30.8655,Finnic
Veps,hüvä,good,a,60.3353,34.7865,Finnic
Ingrian,hüvä,good,a,59.47403,29.71145,Finnic
Western Votic,hēk̄,good,j,NA,NA,Finnic
Western Votic,üvä,good,a,NA,NA,Finnic
Standard Estonian,hea,good,a,58.55,25.82,Finnic
Võro South Estonian,"hää, hüä",good,a,57.85,27,Finnic
Courland Livonian,je̮vā,good,a,NA,NA,Finnic
Erzya,paro,good,b,52.8548,45.3901,Mordvin
Meadow Mari,poro,good,b,55.8307,48.405,Mari
Meadow Mari,saj,good,d,55.8307,48.405,Mari
Komi-Zyrian,bur,good,b,64.0527,54.946,Permic
Komi-Zyrian,šań,good,e,64.0527,54.946,Permic
Komi-Permyak,bur,good,b,59.6602,54.7959,Permic
Udmurt,umoj,good,f,56.12921,52.63548,Permic
Udmurt,ʒ́eć,good,g,56.12921,52.63548,Permic
Hungarian,jó,good,h,46.9068585714,19.6555271429,Ugric
Sosva Mansi,jomas,good,h,NA,NA,Ugric
Vakh-Vasyugan Khanty,jəm,good,h,60.10378,79.873651,Ugric
Nganasan,ńagə̄,good,k,73.1354,86.2106,Samoyed
Tundra Nenets,səwa,good,i,66.1775,71.0234,Samoyed
Selkup,soma,good,i,65.7035,82.4441,Samoyed
Proto-Uralic*,*tumti̮-,know,b,NA,NA,(reconstr.)
South Saami,daejredh,know,c,62.8801,13.7006,Saami
Ume Saami,dàideet,know,c,64.6383,18.646,Saami
Pite Saami,diehtet,know,c,66.4011,17.4261,Saami
North Saami,diehtit,know,a,68.725,22.1113,Saami
Inari Saami,tiettiđ,know,a,69.4229,27.8658,Saami
Skolt Saami,tieʹtted,know,a,68.8326,29.7204,Saami
Kildin Saami,tīdte,know,a,68.2158,35.8348,Saami
Kildin Saami,tommte,know,b,68.2158,35.8348,Saami
Standard Finnish,tietää,know,a,64.7628,25.5577,Finnic
Karelian Proper,tieteä,know,a,65.1691,30.8655,Finnic
Karelian Proper,tuntie ~ tuta,know,b,65.1691,30.8655,Finnic
Veps,tʹeta,know,a,60.3353,34.7865,Finnic
Ingrian,tītǟ,know,a,59.47403,29.71145,Finnic
Western Votic,tǟtemä,know,a,NA,NA,Finnic
Western Votic,tunte̮ma,know,b,NA,NA,Finnic
Standard Estonian,teada,know,a,58.55,25.82,Finnic
Võro South Estonian,tiidmä,know,a,57.85,27,Finnic
Courland Livonian,tìedə,know,a,NA,NA,Finnic
Erzya,sodams,know,d,52.8548,45.3901,Mordvin
Meadow Mari,palem,know,k,55.8307,48.405,Mari
Meadow Mari,šińčem,know,e,55.8307,48.405,Mari
Komi-Zyrian,kužni̮,know,f,64.0527,54.946,Permic
Komi-Zyrian,te̮dni̮,know,b,64.0527,54.946,Permic
Komi-Permyak,te̮dni̮,know,b,59.6602,54.7959,Permic
Udmurt,todi̮ni̮,know,b,56.12921,52.63548,Permic
Hungarian,tud,know,b,46.9068585714,19.6555271429,Ugric
Sosva Mansi,wāɣ,know,g,NA,NA,Ugric
Sosva Mansi,χāsi,know,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,onǝl-,know,j,60.10378,79.873651,Ugric
Vakh-Vasyugan Khanty,tŏŋəmt-,know,h,60.10378,79.873651,Ugric
Nganasan,čəni̮dʹi,know,i,73.1354,86.2106,Samoyed
Tundra Nenets,tyenyewə°,know,i,66.1775,71.0234,Samoyed
Selkup,tenəmə- ~ tünəmə- etc.,know,i,65.7035,82.4441,Samoyed
Proto-Uralic*,*e-,not,a,NA,NA,(reconstr.)
South Saami,ij,not,a,62.8801,13.7006,Saami
Ume Saami,ii,not,a,64.6383,18.646,Saami
Pite Saami,ij,not,a,66.4011,17.4261,Saami
North Saami,ii,not,a,68.725,22.1113,Saami
Inari Saami,ij,not,a,69.4229,27.8658,Saami
Skolt Saami,ij,not,a,68.8326,29.7204,Saami
Kildin Saami,e-,not,a,68.2158,35.8348,Saami
Standard Finnish,ei,not,a,64.7628,25.5577,Finnic
Karelian Proper,ei,not,a,65.1691,30.8655,Finnic
Veps,"ī, e-",not,a,60.3353,34.7865,Finnic
Ingrian,ei,not,a,59.47403,29.71145,Finnic
Western Votic,ei,not,a,NA,NA,Finnic
Standard Estonian,ei,not,a,58.55,25.82,Finnic
Võro South Estonian,ei ~ eiq,not,a,57.85,27,Finnic
Courland Livonian,äʾb,not,a,NA,NA,Finnic
Erzya,a,not,a,52.8548,45.3901,Mordvin
Meadow Mari,ok ~ oɣə̑š,not,a,55.8307,48.405,Mari
Komi-Zyrian,oz,not,a,64.0527,54.946,Permic
Komi-Permyak,abu,not,a,59.6602,54.7959,Permic
Komi-Permyak,ńe,not,c,59.6602,54.7959,Permic
Udmurt,uz,not,a,56.12921,52.63548,Permic
Hungarian,nem,not,b,46.9068585714,19.6555271429,Ugric
Sosva Mansi,at,not,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,"ənt, əntɜ ~ əntə",not,a,60.10378,79.873651,Ugric
Nganasan,"ńisi̮, ńintū",not,a,73.1354,86.2106,Samoyed
Tundra Nenets,nyisy°,not,a,66.1775,71.0234,Samoyed
